Row ID,Order ID,Ship Mode,Customer ID,City,State,Postal Code,Region,Product ID,Sales,Quantity,Discount,Profit,OrderDate,ShipDate
31,US-2012-150630,Standard Class,TB-21520,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,3.264,2,0.2,1.1016,2021-08-17,2021-08-21
32,US-2012-150630,Standard Class,TB-21520,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,86.304,6,0.2,9.7092,2021-08-17,2021-08-21
33,US-2012-150630,Standard Class,TB-21520,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,6.858,6,0.7,-5.715,2021-08-17,2021-08-21
34,US-2012-150630,Standard Class,TB-21520,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,15.76,2,0.2,3.546,2021-08-17,2021-08-21
35,CA-2014-107727,Second Class,MA-17560,Houston,Texas,77095,Central,OFF-PA-10000249,29.472,3,0.2,9.9468,2023-09-20,2023-09-24
36,CA-2013-117590,First Class,GH-14485,Richardson,Texas,75080,Central,TEC-PH-10004977,1097.544,7,0.2,123.4737,2022-11-09,2022-11-11
37,CA-2013-117590,First Class,GH-14485,Richardson,Texas,75080,Central,FUR-FU-10003664,190.92,5,0.6,-147.963,2022-11-09,2022-11-11
38,CA-2012-117415,Standard Class,SN-20710,Houston,Texas,77041,Central,OFF-EN-10002986,113.328,9,0.2,35.415,2021-11-27,2021-11-30
39,CA-2012-117415,Standard Class,SN-20710,Houston,Texas,77041,Central,FUR-BO-10002545,532.3992,3,0.32,-46.9764,2021-11-27,2021-11-30
40,CA-2012-117415,Standard Class,SN-20710,Houston,Texas,77041,Central,FUR-CH-10004218,212.058,3,0.3,-15.147,2021-11-27,2021-11-30
41,CA-2012-117415,Standard Class,SN-20710,Houston,Texas,77041,Central,TEC-PH-10000486,371.168,4,0.2,41.7564,2021-11-27,2021-11-30
42,CA-2014-120999,Standard Class,LC-16930,Naperville,Illinois,60540,Central,TEC-PH-10004093,147.168,4,0.2,16.5564,2023-08-11,2023-08-16
43,CA-2013-101343,Standard Class,RA-19885,Los Angeles,California,90049,West,OFF-ST-10003479,77.88,2,0.0,3.894,2022-06-18,2022-06-23
44,CA-2014-139619,Standard Class,ES-14080,Melbourne,Florida,32935,South,OFF-ST-10003282,95.616,2,0.2,9.5616,2023-08-20,2023-08-24
45,CA-2013-118255,First Class,ON-18715,Eagan,Minnesota,55122,Central,TEC-AC-10000171,45.98,2,0.0,19.7714,2022-02-12,2022-02-14
46,CA-2013-118255,First Class,ON-18715,Eagan,Minnesota,55122,Central,OFF-BI-10003291,17.46,2,0.0,8.2062,2022-02-12,2022-02-14
47,CA-2011-146703,Second Class,PO-18865,Westland,Michigan,48185,Central,OFF-ST-10001713,211.96,4,0.0,8.4784,2020-09-20,2020-09-25
48,CA-2013-169194,Standard Class,LH-16900,Dover,Delaware,19901,East,TEC-AC-10002167,45.0,3,0.0,4.95,2022-05-21,2022-05-26
49,CA-2013-169194,Standard Class,LH-16900,Dover,Delaware,19901,East,TEC-PH-10003988,21.8,2,0.0,6.104,2022-05-21,2022-05-26
50,CA-2012-115742,Standard Class,DP-13000,New Albany,Indiana,47150,Central,OFF-BI-10004410,38.22,6,0.0,17.9634,2021-03-18,2021-03-22
51,CA-2012-115742,Standard Class,DP-13000,New Albany,Indiana,47150,Central,OFF-LA-10002762,75.18,6,0.0,35.3346,2021-03-18,2021-03-22
52,CA-2012-115742,Standard Class,DP-13000,New Albany,Indiana,47150,Central,FUR-FU-10001706,6.16,2,0.0,2.9568,2021-03-18,2021-03-22
53,CA-2012-115742,Standard Class,DP-13000,New Albany,Indiana,47150,Central,FUR-CH-10003061,89.99,1,0.0,17.0981,2021-03-18,2021-03-22
54,CA-2013-105816,Standard Class,JM-15265,New York City,New York,10024,East,OFF-FA-10000304,15.26,7,0.0,6.2566,2022-11-12,2022-11-18
55,CA-2013-105816,Standard Class,JM-15265,New York City,New York,10024,East,TEC-PH-10002447,1029.95,5,0.0,298.6855,2022-11-12,2022-11-18
56,CA-2013-111682,First Class,TB-21055,Troy,New York,12180,East,OFF-ST-10000604,208.56,6,0.0,52.14,2022-05-18,2022-05-19
57,CA-2013-111682,First Class,TB-21055,Troy,New York,12180,East,OFF-PA-10001569,32.4,5,0.0,15.552,2022-05-18,2022-05-19
58,CA-2013-111682,First Class,TB-21055,Troy,New York,12180,East,FUR-CH-10003968,319.41,5,0.1,7.098,2022-05-18,2022-05-19
59,CA-2013-111682,First Class,TB-21055,Troy,New York,12180,East,OFF-PA-10000587,14.56,2,0.0,6.9888,2022-05-18,2022-05-19
60,CA-2013-111682,First Class,TB-21055,Troy,New York,12180,East,TEC-AC-10002167,30.0,2,0.0,3.3,2022-05-18,2022-05-19
61,CA-2013-111682,First Class,TB-21055,Troy,New York,12180,East,OFF-BI-10001460,48.48,4,0.2,16.362,2022-05-18,2022-05-19
62,CA-2013-111682,First Class,TB-21055,Troy,New York,12180,East,OFF-AR-10001868,1.68,1,0.0,0.84,2022-05-18,2022-05-19
63,CA-2012-135545,Standard Class,KM-16720,Los Angeles,California,90004,West,TEC-AC-10004633,13.98,2,0.0,6.1512,2021-10-24,2021-10-30
64,CA-2012-135545,Standard Class,KM-16720,Los Angeles,California,90004,West,OFF-BI-10001078,25.824,6,0.2,9.3612,2021-10-24,2021-10-30
65,CA-2012-135545,Standard Class,KM-16720,Los Angeles,California,90004,West,OFF-PA-10003892,146.73,3,0.0,68.9631,2021-10-24,2021-10-30
66,CA-2012-135545,Standard Class,KM-16720,Los Angeles,California,90004,West,FUR-FU-10000397,79.76,4,0.0,22.3328,2021-10-24,2021-10-30
67,US-2012-164175,Standard Class,PS-18970,Chicago,Illinois,60610,Central,FUR-CH-10001146,213.115,5,0.3,-15.2225,2021-03-30,2021-04-05
68,CA-2011-106376,Standard Class,BS-11590,Gilbert,Arizona,85234,West,OFF-AR-10002671,1113.024,8,0.2,111.3024,2020-11-05,2020-11-10
69,CA-2011-106376,Standard Class,BS-11590,Gilbert,Arizona,85234,West,TEC-PH-10002726,167.968,4,0.2,62.988,2020-11-05,2020-11-10
70,CA-2013-119823,First Class,KD-16270,Springfield,Virginia,22153,South,OFF-PA-10000482,75.88,2,0.0,35.6636,2022-05-05,2022-05-07
71,CA-2013-106075,Standard Class,HM-14980,New York City,New York,10009,East,OFF-BI-10004654,4.616,1,0.2,1.731,2022-08-19,2022-08-24
72,CA-2014-114440,Second Class,TB-21520,Jackson,Michigan,49201,Central,OFF-PA-10004675,19.05,3,0.0,8.763,2023-08-15,2023-08-18
73,US-2012-134026,Standard Class,JE-15745,Memphis,Tennessee,38109,South,FUR-CH-10000513,831.936,8,0.2,-114.3912,2021-03-26,2021-04-02
74,US-2012-134026,Standard Class,JE-15745,Memphis,Tennessee,38109,South,FUR-FU-10003708,97.04,2,0.2,1.213,2021-03-26,2021-04-02
75,US-2012-134026,Standard Class,JE-15745,Memphis,Tennessee,38109,South,OFF-ST-10004123,72.784,1,0.2,-18.196,2021-03-26,2021-04-02
76,US-2014-118038,First Class,KB-16600,Houston,Texas,77041,Central,OFF-BI-10004182,1.248,3,0.8,-1.9344,2023-11-10,2023-11-12
77,US-2014-118038,First Class,KB-16600,Houston,Texas,77041,Central,FUR-FU-10000260,9.708,3,0.6,-5.8248,2023-11-10,2023-11-12
78,US-2014-118038,First Class,KB-16600,Houston,Texas,77041,Central,OFF-ST-10000615,27.24,3,0.2,2.724,2023-11-10,2023-11-12
79,US-2011-147606,Second Class,JE-15745,Houston,Texas,77070,Central,FUR-FU-10003194,19.3,5,0.6,-14.475,2020-10-26,2020-11-01
80,CA-2013-127208,First Class,SC-20770,Decatur,Alabama,35601,South,OFF-AP-10002118,208.16,1,0.0,56.2032,2022-05-13,2022-05-16
81,CA-2013-127208,First Class,SC-20770,Decatur,Alabama,35601,South,OFF-BI-10002309,16.74,3,0.0,8.0352,2022-05-13,2022-05-16
82,CA-2011-139451,Standard Class,DN-13690,San Francisco,California,94122,West,OFF-AR-10002053,14.9,5,0.0,4.172,2020-09-12,2020-09-16
83,CA-2011-139451,Standard Class,DN-13690,San Francisco,California,94122,West,OFF-ST-10002370,21.39,1,0.0,6.2031,2020-09-12,2020-09-16
84,CA-2012-149734,Standard Class,JC-16105,Durham,North Carolina,27707,South,OFF-EN-10000927,200.984,7,0.2,62.8075,2021-08-03,2021-08-08
85,US-2014-119662,First Class,CS-12400,Chicago,Illinois,60623,Central,OFF-ST-10003656,230.376,3,0.2,-48.9549,2023-10-14,2023-10-17
86,CA-2014-140088,Second Class,PO-18865,Columbia,South Carolina,29203,South,FUR-CH-10000863,301.96,2,0.0,33.2156,2023-04-29,2023-04-30
87,CA-2014-155558,Standard Class,PG-18895,Rochester,Minnesota,55901,Central,TEC-AC-10001998,19.99,1,0.0,6.7966,2023-09-27,2023-10-03
88,CA-2014-155558,Standard Class,PG-18895,Rochester,Minnesota,55901,Central,OFF-LA-10000134,6.16,2,0.0,2.9568,2023-09-27,2023-10-03
89,CA-2013-159695,Second Class,GM-14455,Houston,Texas,77095,Central,OFF-ST-10003442,158.368,7,0.2,13.8572,2022-03-06,2022-03-11
90,CA-2013-109806,Standard Class,JS-15685,Los Angeles,California,90036,West,OFF-AR-10004930,20.1,3,0.0,6.633,2022-08-18,2022-08-23
91,CA-2013-109806,Standard Class,JS-15685,Los Angeles,California,90036,West,TEC-PH-10004093,73.584,2,0.2,8.2782,2022-08-18,2022-08-23
92,CA-2013-109806,Standard Class,JS-15685,Los Angeles,California,90036,West,OFF-PA-10000304,6.48,1,0.0,3.1104,2022-08-18,2022-08-23
93,CA-2012-149587,Second Class,KB-16315,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,12.96,2,0.0,6.2208,2020-12-31,2021-01-05
94,CA-2012-149587,Second Class,KB-16315,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,53.34,3,0.0,16.5354,2020-12-31,2021-01-05
95,CA-2012-149587,Second Class,KB-16315,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,32.96,2,0.0,16.1504,2020-12-31,2021-01-05
96,US-2014-109484,Standard Class,RB-19705,Portland,Oregon,97206,West,OFF-BI-10004738,5.682,1,0.7,-3.788,2023-10-07,2023-10-13
97,CA-2014-161018,Second Class,PN-18775,New York City,New York,10009,East,FUR-FU-10000629,96.53,7,0.0,40.5426,2023-10-10,2023-10-12
98,CA-2014-157833,First Class,KD-16345,San Francisco,California,94122,West,OFF-BI-10001721,51.312,3,0.2,17.9592,2023-05-18,2023-05-21
99,CA-2013-149223,Standard Class,ER-13855,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,77.88,6,0.0,22.5852,2022-08-07,2022-08-12
100,CA-2013-158568,Standard Class,RB-19465,Chicago,Illinois,60610,Central,OFF-PA-10003256,64.624,7,0.2,22.6184,2022-07-30,2022-08-03
101,CA-2013-158568,Standard Class,RB-19465,Chicago,Illinois,60610,Central,TEC-AC-10001767,95.976,3,0.2,-10.7973,2022-07-30,2022-08-03
102,CA-2013-158568,Standard Class,RB-19465,Chicago,Illinois,60610,Central,OFF-BI-10002609,1.788,3,0.8,-3.0396,2022-07-30,2022-08-03
103,CA-2013-129903,Second Class,GZ-14470,Rochester,Minnesota,55901,Central,OFF-PA-10004040,23.92,4,0.0,11.7208,2022-11-02,2022-11-05
104,US-2012-156867,Standard Class,LC-16870,Aurora,Colorado,80013,West,TEC-AC-10001552,238.896,6,0.2,-26.8758,2021-10-13,2021-10-17
105,US-2012-156867,Standard Class,LC-16870,Aurora,Colorado,80013,West,FUR-FU-10004006,102.36,3,0.2,-3.8385,2021-10-13,2021-10-17
106,US-2012-156867,Standard Class,LC-16870,Aurora,Colorado,80013,West,OFF-BI-10002794,36.882,3,0.7,-25.8174,2021-10-13,2021-10-17
107,CA-2014-119004,Standard Class,JM-15250,Charlotte,North Carolina,28205,South,TEC-AC-10003499,74.112,8,0.2,17.6016,2023-10-24,2023-10-29
108,CA-2014-119004,Standard Class,JM-15250,Charlotte,North Carolina,28205,South,TEC-PH-10002844,27.992,1,0.2,2.0994,2023-10-24,2023-10-29
109,CA-2014-119004,Standard Class,JM-15250,Charlotte,North Carolina,28205,South,OFF-AR-10000390,3.304,1,0.2,1.0738,2023-10-24,2023-10-29
110,CA-2012-129476,Standard Class,PA-19060,Orland Park,Illinois,60462,Central,TEC-AC-10000844,339.96,5,0.2,67.992,2021-09-15,2021-09-20
111,CA-2014-146780,Standard Class,CV-12805,New York City,New York,10035,East,FUR-FU-10001934,41.96,2,0.0,10.9096,2023-11-26,2023-11-30
112,CA-2013-128867,Standard Class,CL-12565,Urbandale,Iowa,50322,Central,OFF-AR-10000380,75.96,2,0.0,22.788,2022-10-04,2022-10-11
113,CA-2013-128867,Standard Class,CL-12565,Urbandale,Iowa,50322,Central,OFF-BI-10003981,27.24,6,0.0,13.3476,2022-10-04,2022-10-11
114,CA-2011-115259,Second Class,RC-19960,Columbus,Ohio,43229,East,OFF-FA-10000621,40.096,14,0.2,14.5348,2020-07-25,2020-07-27
115,CA-2011-115259,Second Class,RC-19960,Columbus,Ohio,43229,East,OFF-EN-10002600,4.72,2,0.2,1.652,2020-07-25,2020-07-27
116,CA-2011-115259,Second Class,RC-19960,Columbus,Ohio,43229,East,OFF-PA-10004965,23.976,3,0.2,7.4925,2020-07-25,2020-07-27
117,CA-2011-115259,Second Class,RC-19960,Columbus,Ohio,43229,East,OFF-EN-10002504,130.464,6,0.2,44.0316,2020-07-25,2020-07-27
118,CA-2012-110457,Standard Class,DK-13090,Seattle,Washington,98103,West,FUR-TA-10001768,787.53,3,0.0,165.3813,2021-02-02,2021-02-06
119,US-2012-136476,Standard Class,GG-14650,Bristol,Tennessee,37620,South,OFF-BI-10003650,157.794,1,0.7,-115.7156,2021-03-05,2021-03-10
120,CA-2013-103730,First Class,SC-20725,Wilmington,Delaware,19805,East,FUR-FU-10002157,47.04,3,0.0,18.3456,2022-05-13,2022-05-16
121,CA-2013-103730,First Class,SC-20725,Wilmington,Delaware,19805,East,OFF-BI-10003910,30.84,4,0.0,13.878,2022-05-13,2022-05-16
122,CA-2013-103730,First Class,SC-20725,Wilmington,Delaware,19805,East,OFF-ST-10000777,226.56,6,0.0,63.4368,2022-05-13,2022-05-16
123,CA-2013-103730,First Class,SC-20725,Wilmington,Delaware,19805,East,OFF-EN-10002500,115.02,9,0.0,51.759,2022-05-13,2022-05-16
124,CA-2013-103730,First Class,SC-20725,Wilmington,Delaware,19805,East,TEC-PH-10003875,68.04,7,0.0,19.7316,2022-05-13,2022-05-16
125,US-2011-152030,Second Class,AD-10180,Houston,Texas,77041,Central,FUR-CH-10004063,600.558,3,0.3,-8.5794,2020-11-26,2020-11-28
126,US-2011-134614,Standard Class,PF-19165,Bloomington,Illinois,61701,Central,FUR-TA-10004534,617.7,6,0.5,-407.682,2020-08-20,2020-08-25
127,US-2014-107272,Standard Class,TS-21610,Phoenix,Arizona,85023,West,OFF-BI-10003274,2.388,2,0.7,-1.8308,2023-10-06,2023-10-13
128,US-2014-107272,Standard Class,TS-21610,Phoenix,Arizona,85023,West,OFF-ST-10002974,243.992,7,0.2,30.499,2023-10-06,2023-10-13
129,US-2013-125969,Second Class,LS-16975,Los Angeles,California,90004,West,FUR-CH-10001146,81.424,2,0.2,-9.1602,2022-10-07,2022-10-11
130,US-2013-125969,Second Class,LS-16975,Los Angeles,California,90004,West,FUR-FU-10003773,238.56,3,0.0,26.2416,2022-10-07,2022-10-11
131,US-2014-164147,First Class,DW-13585,Columbus,Ohio,43229,East,TEC-PH-10002293,59.97,5,0.4,-11.994,2023-01-03,2023-01-06
132,US-2014-164147,First Class,DW-13585,Columbus,Ohio,43229,East,OFF-PA-10002377,78.304,2,0.2,29.364,2023-01-03,2023-01-06
133,US-2014-164147,First Class,DW-13585,Columbus,Ohio,43229,East,OFF-FA-10002780,21.456,9,0.2,6.9732,2023-01-03,2023-01-06
134,CA-2013-145583,Standard Class,LC-16885,Roseville,California,95661,West,OFF-PA-10001804,20.04,3,0.0,9.6192,2022-09-14,2022-09-20
135,CA-2013-145583,Standard Class,LC-16885,Roseville,California,95661,West,OFF-PA-10001736,35.44,1,0.0,16.6568,2022-09-14,2022-09-20
136,CA-2013-145583,Standard Class,LC-16885,Roseville,California,95661,West,OFF-AR-10001149,11.52,4,0.0,3.456,2022-09-14,2022-09-20
137,CA-2013-145583,Standard Class,LC-16885,Roseville,California,95661,West,OFF-FA-10002988,4.02,2,0.0,1.9698,2022-09-14,2022-09-20
138,CA-2013-145583,Standard Class,LC-16885,Roseville,California,95661,West,OFF-BI-10004781,76.176,3,0.2,26.6616,2022-09-14,2022-09-20
139,CA-2013-145583,Standard Class,LC-16885,Roseville,California,95661,West,OFF-SU-10001218,65.88,6,0.0,18.4464,2022-09-14,2022-09-20
140,CA-2013-145583,Standard Class,LC-16885,Roseville,California,95661,West,FUR-FU-10001706,43.12,14,0.0,20.6976,2022-09-14,2022-09-20
141,CA-2013-110366,Second Class,JD-15895,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,82.8,2,0.2,10.35,2022-08-06,2022-08-08
142,CA-2014-106180,Standard Class,SH-19975,San Francisco,California,94122,West,OFF-AR-10000940,8.82,3,0.0,2.3814,2023-08-19,2023-08-24
143,CA-2014-106180,Standard Class,SH-19975,San Francisco,California,94122,West,OFF-EN-10004030,10.86,3,0.0,5.1042,2023-08-19,2023-08-24
144,CA-2014-106180,Standard Class,SH-19975,San Francisco,California,94122,West,OFF-PA-10004327,143.7,3,0.0,68.976,2023-08-19,2023-08-24
145,CA-2014-155376,Standard Class,SG-20080,Independence,Missouri,64055,Central,OFF-AP-10001058,839.43,3,0.0,218.2518,2023-11-23,2023-11-28
146,CA-2012-110744,Standard Class,HA-14920,Pasadena,California,91104,West,OFF-ST-10003656,671.93,7,0.0,20.1579,2021-08-07,2021-08-12
147,CA-2011-110072,Standard Class,MG-17680,Newark,Ohio,43055,East,FUR-FU-10000521,93.888,4,0.2,12.9096,2020-09-22,2020-09-28
148,CA-2013-114489,Standard Class,JE-16165,Franklin,Wisconsin,53132,Central,TEC-PH-10000215,384.45,11,0.0,103.8015,2022-11-06,2022-11-10
149,CA-2013-114489,Standard Class,JE-16165,Franklin,Wisconsin,53132,Central,TEC-PH-10001448,149.97,3,0.0,5.9988,2022-11-06,2022-11-10
150,CA-2013-114489,Standard Class,JE-16165,Franklin,Wisconsin,53132,Central,FUR-CH-10000454,1951.84,8,0.0,585.552,2022-11-06,2022-11-10
151,CA-2013-114489,Standard Class,JE-16165,Franklin,Wisconsin,53132,Central,OFF-BI-10002735,171.55,5,0.0,80.6285,2022-11-06,2022-11-10
152,CA-2013-158834,First Class,TW-21025,Scottsdale,Arizona,85254,West,OFF-AP-10000326,157.92,5,0.2,17.766,2022-02-14,2022-02-17
153,CA-2013-158834,First Class,TW-21025,Scottsdale,Arizona,85254,West,TEC-PH-10001254,203.184,2,0.2,15.2388,2022-02-14,2022-02-17
154,CA-2012-124919,First Class,SP-20650,San Jose,California,95123,West,OFF-PA-10001950,58.38,7,0.0,26.271,2021-04-30,2021-05-02
155,CA-2012-124919,First Class,SP-20650,San Jose,California,95123,West,OFF-PA-10002254,105.52,4,0.0,48.5392,2021-04-30,2021-05-02
156,CA-2012-124919,First Class,SP-20650,San Jose,California,95123,West,OFF-ST-10001590,80.88,6,0.0,21.0288,2021-04-30,2021-05-02
157,CA-2012-118948,Standard Class,NK-18490,Seattle,Washington,98105,West,OFF-AR-10001547,6.63,3,0.0,1.7901,2021-04-28,2021-05-03
158,CA-2011-104269,Second Class,DB-13060,Seattle,Washington,98115,West,FUR-CH-10004063,457.568,2,0.2,51.4764,2020-02-01,2020-02-06
159,CA-2013-114104,Standard Class,NP-18670,Edmond,Oklahoma,73034,Central,OFF-LA-10002475,14.62,2,0.0,6.8714,2022-10-21,2022-10-25
160,CA-2013-114104,Standard Class,NP-18670,Edmond,Oklahoma,73034,Central,TEC-PH-10004536,944.93,7,0.0,236.2325,2022-10-21,2022-10-25
161,CA-2013-162733,First Class,TT-21070,Los Angeles,California,90045,West,OFF-PA-10002751,5.98,1,0.0,2.691,2022-04-12,2022-04-13
162,CA-2012-119697,Second Class,EM-13960,Philadelphia,Pennsylvania,19134,East,TEC-AC-10003657,54.384,2,0.2,1.3596,2021-11-28,2021-11-30
163,CA-2013-154508,Standard Class,RD-19900,Carlsbad,New Mexico,88220,West,OFF-EN-10001990,28.4,5,0.0,13.348,2022-10-17,2022-10-21
164,CA-2013-113817,Standard Class,MJ-17740,Seattle,Washington,98115,West,OFF-BI-10004002,27.68,2,0.2,9.688,2022-10-08,2022-10-12
165,CA-2011-139892,Standard Class,BM-11140,San Antonio,Texas,78207,Central,OFF-AR-10004441,9.936,3,0.2,2.7324,2020-08-08,2020-08-12
166,CA-2011-139892,Standard Class,BM-11140,San Antonio,Texas,78207,Central,TEC-MA-10000822,8159.952,8,0.4,-1359.992,2020-08-08,2020-08-12
167,CA-2011-139892,Standard Class,BM-11140,San Antonio,Texas,78207,Central,OFF-ST-10000991,275.928,3,0.2,-58.6347,2020-08-08,2020-08-12
168,CA-2011-139892,Standard Class,BM-11140,San Antonio,Texas,78207,Central,FUR-CH-10004287,1740.06,9,0.3,-24.858,2020-08-08,2020-08-12
169,CA-2011-139892,Standard Class,BM-11140,San Antonio,Texas,78207,Central,OFF-AR-10002656,32.064,6,0.2,6.8136,2020-08-08,2020-08-12
170,CA-2011-139892,Standard Class,BM-11140,San Antonio,Texas,78207,Central,OFF-AP-10002518,177.98,5,0.8,-453.849,2020-08-08,2020-08-12
171,CA-2011-139892,Standard Class,BM-11140,San Antonio,Texas,78207,Central,TEC-PH-10003931,143.976,3,0.2,8.9985,2020-08-08,2020-08-12
172,CA-2011-118962,Standard Class,CS-12130,Los Angeles,California,90004,West,OFF-PA-10000659,20.94,3,0.0,9.8418,2020-07-05,2020-07-09
173,CA-2011-118962,Standard Class,CS-12130,Los Angeles,California,90004,West,OFF-PA-10001144,110.96,2,0.0,53.2608,2020-07-05,2020-07-09
174,CA-2011-118962,Standard Class,CS-12130,Los Angeles,California,90004,West,FUR-CH-10003817,340.144,7,0.2,21.259,2020-07-05,2020-07-09
175,US-2011-100853,Standard Class,JB-15400,Chicago,Illinois,60623,Central,OFF-AP-10000891,52.448,2,0.8,-131.12,2020-08-14,2020-08-19
176,US-2011-100853,Standard Class,JB-15400,Chicago,Illinois,60623,Central,OFF-LA-10003148,20.16,4,0.2,6.552,2020-08-14,2020-08-19
177,US-2014-152366,Second Class,SJ-20500,Houston,Texas,77036,Central,OFF-AP-10002684,97.264,4,0.8,-243.16,2023-03-22,2023-03-26
178,US-2012-101511,Second Class,JE-15745,Newark,Ohio,43055,East,FUR-CH-10004698,396.802,7,0.3,-11.3372,2021-10-21,2021-10-23
179,US-2012-101511,Second Class,JE-15745,Newark,Ohio,43055,East,OFF-SU-10002189,15.88,5,0.2,-3.7715,2021-10-21,2021-10-23
